,title,image,price,description
188,"Вербена стрък – Върбинка, Verbena officinalis L.",https://bilki.bg/media/catalog/product/cache/1/small_image/200x200/4a7b379f08b37ce157de1b71c34b2dde/1/8/185verbena.jpg,"2,38 лв.","Върбинката има общоукрепващо, противовъзпалително и температуро-понижаващо действие. Оказва положително действие при възпалено гърло и заболявания на респираторния тракт."
189,"Дяволска уста стрък – Пустирник, Leonurus cardiaca L.",https://bilki.bg/media/catalog/product/cache/1/small_image/200x200/4a7b379f08b37ce157de1b71c34b2dde/2/2/225diavolska-usta.jpg,"2,22 лв.","Дяволска уста, като билка, успокоява централната нервна система. Има противогърчово действие. Понижава артериалното налягане. Забавя сърдечния ритъм и увеличава силата на сърдечните съкращения."
190,"Блатен тъжник стрък рязан – Спирея, Filipendula ulmaria L.",https://bilki.bg/media/catalog/product/cache/1/small_image/200x200/4a7b379f08b37ce157de1b71c34b2dde/1/5/154spirea-herba.jpg,"2,32 лв.","Блатният тъжник, познат още като Спирея, има противовъзпалително, противоревматично и диуретично действие. Научните изследвания доказват и неговото седативно действие, а ефектът настъпва само няколко дни след употребата му."
191,"Горицвет стрък, Adonis vernalis, Ranunculaceae",https://bilki.bg/media/catalog/product/cache/1/small_image/200x200/4a7b379f08b37ce157de1b71c34b2dde/g/o/goricvet207.jpg,"1,72 лв.","Билката Горицвет се прилага при сърдечно-съдови заболявания, за разширяване на коронарните съдове, както и като пикочогонно средство. Използва се също при ниско кръвно налягане, като нервно успокоително средство при неврози и неврастении, и като диуретично средство."
192,"Червено Подъбиче стрък, Teucrium chamaedrys L.",https://bilki.bg/media/catalog/product/cache/1/small_image/200x200/4a7b379f08b37ce157de1b71c34b2dde/4/2/421poddabiche-cherv.jpg,"1,75 лв.","Червено подъбиче е билка, която действа запичащо, пикочогонно и кръвоспиращо, а също така и общоукрепващо. Потиска стомашната секреция и намалява неприятните оригвания и киселини. Отстранява гнилостните процеси в червата."
193,"Блатен тъжник цвят – Спирея, Filipendula ulmaria L.",https://bilki.bg/media/catalog/product/cache/1/small_image/200x200/4a7b379f08b37ce157de1b71c34b2dde/1/5/155-spirea-flowers.jpg,"2,93 лв.","Блатният тъжник, познат още като Спирея, има противовъзпалително, противоревматично и диуретично действие. Научните изследвания доказват и неговото седативно действие, а ефектът настъпва само няколко дни след употребата му."
194,"Резене семе – Див копър, Foeniculum vulgare",https://bilki.bg/media/catalog/product/cache/1/small_image/200x200/4a7b379f08b37ce157de1b71c34b2dde/4/3/438rezene.jpg,"1,66 лв.",Резенето стимулира храносмилането и подобрява апетита. Премахва запека и коликите. Резенето действа газогонно и слабително.
195,"Кървавиче корен, Polygonum bistorta L.",https://bilki.bg/media/catalog/product/cache/1/small_image/200x200/4a7b379f08b37ce157de1b71c34b2dde/k/a/karvaviche_1.jpg,"5,78 лв.","Кървавичето има силни стягащи, антидиарични, антикатарални и противовъзпалителни свойства. Коренът му е едно от най-мощните естествени стягащи средства. Използва се като кръвоспиращо лекарство при вътрешно или външно кървене."
196,"Змийско мляко стрък, Chelidonium majus",https://bilki.bg/media/catalog/product/cache/1/small_image/200x200/4a7b379f08b37ce157de1b71c34b2dde/2/5/254zmiisko-mliako.jpg,"2,14 лв.","Змийското мляко се използва за лечение на жълтеница, жлъчнокаменна болест, гастрит, колит и др. Билката се прилага и при бъбречни заболявания (поради своя диуретичен ефект), лошо храносмилане, високо артериално налягане."
197,"Зимзелен – Зеленика, Vinca minor L.",https://bilki.bg/media/catalog/product/cache/1/small_image/200x200/4a7b379f08b37ce157de1b71c34b2dde/2/5/251zim-zelen.jpg,"3,40 лв.","Зимзеленът има тонизиращо, стягащо, кръвоспиращо, антихипертензивно, съдоразширяващо и диуретично действие."
198,"Росопас стрък - за отслабване, Fumaria officinalis L.",https://bilki.bg/media/catalog/product/cache/1/small_image/200x200/4a7b379f08b37ce157de1b71c34b2dde/4/4/448rosopas.jpg,"2,14 лв.","Лечебният росопас е билка, полезна при заболявания на жлъчния мехур и черния дроб. Външно е ефективен и при конюнктивит, кожни обриви и хронични екземи. Използва се и за лечение на жлъчния мехур, жлъчните пътища и стомашно-чревния тракт."
199,"Зайча сянка корен – Аспарагус, Asparagus officinalis L.",https://bilki.bg/media/catalog/product/cache/1/small_image/200x200/4a7b379f08b37ce157de1b71c34b2dde/2/4/245asparag-herba3.jpg,"4,87 лв.","Зайча сянка, позната още като Аспарагус или Диви Аспержи, се използва от древни времена за медицински цели. В древната медицина се е смятало, че аспарагуса отваря блокажи във всички вътрешни органи, причинява леко гадене, помага при проблеми с лигавиците."
200,"Страшниче стрък, Asplenium trichomanes L.",https://bilki.bg/media/catalog/product/cache/1/small_image/200x200/4a7b379f08b37ce157de1b71c34b2dde/4/7/477strashniche.jpg,"7,20 лв.","Уплаха, невроза и силен страх? Довери се на силата на билките! Страшниче ще разсее страховете и ще внесе душевно спокойствие. Страшничето притежава и отхрачващо действие."
201,"Великденче стрък – Гергьовденче, Veronica officinalis L.",https://bilki.bg/media/catalog/product/cache/1/small_image/200x200/4a7b379f08b37ce157de1b71c34b2dde/1/8/184velikdenche.jpg,"2,08 лв.","Със сигурност, всеки от нас поне веднъж в живота си е виждал красивото цвете Великденче, но дали знаете колко лечебни ползи притежава то? Билката Великденче е богата на антиоксиданти. Освен това има естествени отхрачващи, противовъзпалителни, антимикробни, стягащи и диуретични свойства, което му дава широк спектър от потенциални приложения за здравето."
202,"Бял синап семе цяло, Sinapis alba",https://bilki.bg/media/catalog/product/cache/1/small_image/200x200/4a7b379f08b37ce157de1b71c34b2dde/4/5/459sinap-b-all.jpg,"1,37 лв.","Семената на Белия синап имат антибактериални, противогъбични, ветрогонни, потогонни, храносмилателни, диуретични, отхрачващи и стимулиращи свойства. В Китай се използва при лечение на кашлица с обилна храчка и туберкулоза, плеврит."
203,"Жълто прозорче стрък – Тлъстига, Sedum acre L.",https://bilki.bg/media/catalog/product/cache/1/small_image/200x200/4a7b379f08b37ce157de1b71c34b2dde/2/4/243jalto-prozor_1.jpg,"7,24 лв.","Жълтото прозорче има хипотензивни, диуретични, слабителни и болкоуспокояващи свойства. Известно е, че билката помага за понижаване на високото кръвно налягане, но не трябва да се използва като лекарство за кръвно налягане."
204,"Червен божур цвят - при хемороиди и ревматизъм, Paeonia",https://bilki.bg/media/catalog/product/cache/1/small_image/200x200/4a7b379f08b37ce157de1b71c34b2dde/b/o/bojur.jpg,"6,73 лв.","Червеният божур освен с красивия си външен вид, се отличава и с прекрасни лечебни качества. Действа противогърчово и болкоуспокояващо. Червеният божур засилва тонуса на матката, стимулира перисталтиката и тонуса на червата."
205,"Решетка корен - при високо кръвно BOF, Carlina acanthifolia All.",https://bilki.bg/media/catalog/product/cache/1/small_image/200x200/4a7b379f08b37ce157de1b71c34b2dde/4/4/440reshetka.jpg,"6,54 лв.","Българската народна медицина предлага Решетката като средство за лечение на отоците (асцита), съпровождащи чернодробната цироза. Освен това, билката се използва като отхрачващо средство при хронични обструктивни заболявания на белите дробове и бъбреците."
206,"Жълт смил цвят – Безсмъртниче, Helichrysum arenarium",https://bilki.bg/media/catalog/product/cache/1/small_image/200x200/4a7b379f08b37ce157de1b71c34b2dde/2/4/242jalt-sml.jpg,"4,58 лв.","Жълтият смил (безсмъртниче) има антиоксидантно, противовъзпалително, антибактериално и противогъбично действие. Оказва анти-ейдж и заздравяващо действие върху кожата, и облекчава псориазиса. Облекчава стреса и възстановява доброто настроение."
207,"Гръмотрън корен, Ononis spinosa L.",https://bilki.bg/media/catalog/product/cache/1/small_image/200x200/4a7b379f08b37ce157de1b71c34b2dde/2/1/210gramotran-koren.jpg,"2,38 лв.","От древността се счита, че гръмотрънът има диуретично действие и при камъни в бъбреците може да предизвика изхвърлянето им. Гръмотрънът може да бъде приложен за лечение на ставен ревматизъм, подагра, както и за лечение на цистит, а външно — под формата на бани при хронични дерматози и екземи."
208,"Жълта Комунига стрък - успокояващо, Melilotus officinalis L.",https://bilki.bg/media/catalog/product/cache/1/small_image/200x200/4a7b379f08b37ce157de1b71c34b2dde/k/o/komuniga.jpg,"2,32 лв.","Жълтата комунига успокоява нервната система. Сънотворно, болкоуспокояващо, спазмолитично, противосъсирващо, противовъзпалително и смекчително действие."
209,"Исоп лечебен стрък, Hyssopus officinalis L.",https://bilki.bg/media/catalog/product/cache/1/small_image/200x200/4a7b379f08b37ce157de1b71c34b2dde/2/6/266isop.jpg,"3,70 лв.","В народната медицина исопът често се използва за облекчаване на симптомите на обикновена настинка. Счита се, че билката намалява болките в гърлото и кашлицата. 
Освен за лечение на симптоми на обикновена настинка, исопът може да се използва за облекчаване на по-сериозни респираторни заболявания, като астма и хроничен бронхит."
210,"Брош корен - Червен, Rubia tinctorum L.",https://bilki.bg/media/catalog/product/cache/1/small_image/200x200/4a7b379f08b37ce157de1b71c34b2dde/b/r/bro6.jpg,"5,04 лв.","В Индия, Африка и Югоизточна Азия брошът е една от популярните лечебни билки. Използва се за пречистване на кръвта в аюрведичната медицина. Коренът му е мощно противовъзпалително средство, което е ефективно при лечението на възпалителни състояния, свързани с артрит или други форми на ставни болки."
211,"Ким семена - подправка за соленки, Carum carvi L., насипно",https://bilki.bg/media/catalog/product/cache/1/small_image/200x200/4a7b379f08b37ce157de1b71c34b2dde/2/8/288kim.jpg,"1,56 лв.","Семената на кима са силно ароматни и имат отличителен мек аромат на анасон, който добавя мек и фин аромат към много ястия. Вкусът им е земен, с нотка на цитрусови плодове и черен пипер."
212,"Бухалковиден Плаун – Плавун стрък, Lycopodium Clavatum",https://bilki.bg/media/catalog/product/cache/1/small_image/200x200/4a7b379f08b37ce157de1b71c34b2dde/4/1/415plaun.jpg,"4,73 лв.","Плавунът е билка, която в народната медицина се използва основно за лечение на хроничен алкохолизъм и отказване от тютюнопушене. Определяна е като ""билка за черен дроб""."
213,"Ягода лист, Fragaria vesca L.",https://bilki.bg/media/catalog/product/cache/1/small_image/200x200/4a7b379f08b37ce157de1b71c34b2dde/5/3/536qgoda-list.jpg,"2,32 лв.","Листата на растението ягода отдавна се използват за лечение на стомашно-чревни проблеми, включително запек, диария, гадене и гастрит. Те също така са изключителни за насърчаване на апетита и подобряване на храносмилателната ефективност и усвояването на хранителни вещества."
214,"Офика плод, Sorbus aucuparia",https://bilki.bg/media/catalog/product/cache/1/small_image/200x200/4a7b379f08b37ce157de1b71c34b2dde/3/9/396.jpg,"2,36 лв.","Това малко зрънце е като ""малка питателна бомбичка"". Богато е на витамин С, диетични фибри, сорбинова киселина, но най-вече - много антиоксиданти. Именно високите нива на антиоксиданти, открити в плодовете на Офиката, я правят мощна суперхрана срещу различни заболявания."
215,"Сладък Пелин стрък рязан, Artemisia annua",https://bilki.bg/media/catalog/product/cache/1/small_image/200x200/4a7b379f08b37ce157de1b71c34b2dde/s/w/sweet-wormwood-_5.jpg,"4,28 лв.","Към настоящият момент сладкият пелин е една от най-добре изследваните клинично билки и е показала изключителни ползи за здравето, с което в момента е водеща билка за различни здравословни проблеми."
216,"Теснолист Живовляк лист, Plantago lanceolata L.",https://bilki.bg/media/catalog/product/cache/1/small_image/200x200/4a7b379f08b37ce157de1b71c34b2dde/b/2/b240conf.jpg,"2,54 лв.","Проучванията показват, че билката Живовляк може да помогне за намаляване на възпалението в тялото. По-специално, листата съдържат няколко противовъзпалителни съединения, включително флавоноиди, терпеноиди, гликозиди и танини. Освен това, Живовлякът притежава отхрачващо, антибактериално, имуностимулиращо действие."
217,"Алое Вера лист на прах, Aloe Barbadensis",https://bilki.bg/media/catalog/product/cache/1/small_image/200x200/4a7b379f08b37ce157de1b71c34b2dde/a/l/aloe-powder.jpg,"4,66 лв.","Алое е уникално лечебно растение. Химичният му състав е уникален - в сока на растението се съдържат около двеста и петдесет активни биологични вещества. Листата на алое са 97% вода - самият сок, който е концентрат от хранителни вещества."
218,"Змийска хурка корен - при хемороиди, Arum maculatum L.",https://bilki.bg/media/catalog/product/cache/1/small_image/200x200/4a7b379f08b37ce157de1b71c34b2dde/2/5/253zmiiska-hurka.jpg,"3,42 лв.","Змийска хурка, позната още като Змиярник, е високо тревисто растение, чийто корен се използва за направата на лекарство.
Въпреки сериозните опасения за безопасността, билката се използва при настинки и оток (възпаление) на гърлото. Използва се и за насърчаване на изпотяването и за разхлабване на задръстванията в белия дроб. Грудките се използват външно при ревматизъм, подагра и хемороиди."
219,"Женшен корен рязан - Червен, Panax ginseng",https://bilki.bg/media/catalog/product/cache/1/small_image/200x200/4a7b379f08b37ce157de1b71c34b2dde/2/3/239jen-shen-cherv-cut.jpg,"19,61 лв.","Корените на женшена се ползват с широка популярност като тонизиращо средство в народната медицина на Китай, Япония и други далекоизточни страни. Женшенът е мощен адаптоген - уравновесява нервните процеси. Стимулира мускулната издръжливост. Усилва имунитета."
220,"Арника Монтана цвят, Arnica montana L. (ограничена наличност)",https://bilki.bg/media/catalog/product/cache/1/small_image/200x200/4a7b379f08b37ce157de1b71c34b2dde/1/4/144arnica-mont.jpg,"20,47 лв.","Вероятно всеки е чувал за билката Арника. В хомеопатична форма се използва от векове като алтернативно лекарство за лечение на косопад, артрит, възпаление, натъртвания, инфекции и болки в мускулите и ставите. Обикновено се прилага върху кожата като гел, мехлем, мехлем, лапа, тинктура или масло, се смята, че намалява болката и възпалението."
221,"Босилек лист ронен, Ocimum basilicum",https://bilki.bg/media/catalog/product/cache/1/small_image/200x200/4a7b379f08b37ce157de1b71c34b2dde/1/6/166bosilek-ronen_25.jpg,"1,42 лв.","Босилекът е една от най-старите билки, познати на човечеството. Ценен като кулинарна подправка и лековита билка. 
Ocimum basilicum L. (Сладък босилек) принадлежи към семейство Lamiaceae, което включва около 200 вида, които се срещат в различни растителни разновидности и форми. Традиционно сладкият босилек се използва като лечебно растение при лечение на главоболие, кашлица, диария, запек, брадавици, глисти и бъбречни проблеми."
222,"Шизандра плод - Червена, Китайски лимонник, Schisandra chinensis",https://bilki.bg/media/catalog/product/cache/1/small_image/200x200/4a7b379f08b37ce157de1b71c34b2dde/5/2/528shizandra-red.jpg,"7,52 лв.","Шизандра - червено зрънце здраве и красота! Използвано от древните китайски кралски особи за запазване на младостта, засилване на сексуалното желание и като мощен репродуктивен тоник."
223,"Ангелика корен – Лечебна пищялка, Angelica archangelica L.",https://bilki.bg/media/catalog/product/cache/1/small_image/200x200/4a7b379f08b37ce157de1b71c34b2dde/b/1/b142conf.jpg,"3,22 лв.","Ангелика, наричана в Китай още женски жен-шен или dong quai, заради способността му да хармонизира женския организъм. Dong Quai регулира естрогена, като нормализира баланса на хормоните в женското тяло по време на менопаузата. Dong Quai или Ангелика повишава тонуса, увеличава енергията и настроението."
224,"Бударица петниста стрък, Galeopsis tetrahit L",https://bilki.bg/media/catalog/product/cache/1/small_image/200x200/4a7b379f08b37ce157de1b71c34b2dde/1/7/175budariza.jpg,"4,66 лв.","Бударицата е билка, която се се използва за приготвяне на лечебен чай, тинктури или дори вани. Помага за освобождаване на секретите в гърдите и дихателните пътища, с което подпомага изкашлянето. Притежава стягащо, диуретично и отхрачващо действие."
225,"Жасмин ароматен цвят - I-во качество, Jasminum Polyanthum",https://bilki.bg/media/catalog/product/cache/1/small_image/200x200/4a7b379f08b37ce157de1b71c34b2dde/b/2/b237.jpg,"5,72 лв.","Първокласен жасминов цвят с лек, свеж, опияняващ аромат. Освен приятния аромат, ползите от красивото цвете Жасмин са много. Стимулира дейността на главния мозък. Повишава либидото. Имуномодулиращо действие. Антиоксидантна активност, Отстранява белези и стрии, дерматити, екземи, алергични обриви. Има подмладяващ и освежаващ ефект."
226,"Маслина лист, Olea europaea L.",https://bilki.bg/media/catalog/product/cache/1/small_image/200x200/4a7b379f08b37ce157de1b71c34b2dde/3/5/359maslina.jpg,"1,94 лв.","Маслиновите листа съдържат няколко ключови полифенола, като олеацеин и олеуропеин. Полифенолите се срещат естествено в растенията и изследванията показват, че те могат да помогнат за защита срещу редица състояния, като сърдечни заболявания и рак."
227,"Портокалов цвят, Citrus aurantium L.",https://bilki.bg/media/catalog/product/cache/1/small_image/200x200/4a7b379f08b37ce157de1b71c34b2dde/4/2/422portokal-zvqt.jpg,"4,98 лв.","Портокаловият цвят е известен със своите успокояващи и седативни свойства. То е ценно средство в билколечението за хора, които страдат от различни тревожни разстройства. Подобрява храносмилането."
228,"Къна за коса 100% натурална - цвят Махагон, Lawsonia inermis",https://bilki.bg/media/catalog/product/cache/1/small_image/200x200/4a7b379f08b37ce157de1b71c34b2dde/b/3/b317conf.jpg,"5,62 лв.","Натуралната къна предлага като палитра няколко цвята, които варират от оранжево през червено към кафяво. Тя служи като козметично средство векове наред и до днес се използва с успех за поддържане и оцветяване на косата."
229,"Птиче просо семе - при напикаване, Lithospermum Officinale",https://bilki.bg/media/catalog/product/cache/1/small_image/200x200/4a7b379f08b37ce157de1b71c34b2dde/5/7/574ptiche-proso.jpg,"2,21 лв.","Билката Птиче просо се препоръчва се при пясък в бъбреците, против напикаване при деца и възрастни."
230,"Джинджифил корен цял, Zingiber officinale",https://bilki.bg/media/catalog/product/cache/1/small_image/200x200/4a7b379f08b37ce157de1b71c34b2dde/2/1/218ginger-all.jpg,"3,19 лв.","Джинджифилът се използва в готвенето и медицината още от древността. Целият сушен корен запазва пълноценно аромата на джинджифила, като позволява винаги да настържете необходимото ви количество на метално ренде, за ястие или ароматен сгряващ чай."
231,"Стевия лист, Stevia Rebaudiana",https://bilki.bg/media/catalog/product/cache/1/small_image/200x200/4a7b379f08b37ce157de1b71c34b2dde/b/4/b476_1_1.jpg,"4,43 лв.","Стевията оказва общо тонизиращо действие, възстановява силите след нервно и физическо изтощение и намалява процесите на стареене. Тя е незаменимо средство за болните от сърдечно-съдови заболявания и захарен диабет."
232,"Медицинска дъвка (Мастикс), насипно",https://bilki.bg/media/catalog/product/cache/1/small_image/200x200/4a7b379f08b37ce157de1b71c34b2dde/p/r/product_11402_1_.jpg,"24,70 лв.","В продължение на векове мастиковата смола е била използвана за подобряване на храносмилането, здравето на устната кухина и здравето на черния дроб. Съдържа антиоксиданти, за които се твърди, че поддържат терапевтичните му свойства. Мастикс има силно антимикробно, противовъзпалително и лечебно действие."
233,"Черен кимион семена – Нигела, насипно",https://bilki.bg/media/catalog/product/cache/1/small_image/200x200/4a7b379f08b37ce157de1b71c34b2dde/5/1/510nigella.jpg,"2,02 лв.","Черният кимион не без причина бива наричан ""Черното злато на фараоните"" и ""Лек за всички болести, освен смъртта"". Семената на растението Nigella Sativa са известни с разнообразните си кулинарни приложения и лечебни свойства."
234,"Каркаде цели цветове – Чай Хибискус, Hibiscus sabdariffa",https://bilki.bg/media/catalog/product/cache/1/small_image/200x200/4a7b379f08b37ce157de1b71c34b2dde/2/8/284karkade-zv.jpg,"2,16 лв.","Чаят от Каркаде има плодов, тръпчив, освежаващ вкус, подобен на червените боровинки. Може да му се насладите горещ или студен. Много хора го пият заради уникалните му ползи за здравето."
235,"Златен корен рязан – Родиола, Rhodiola Rosea",https://bilki.bg/media/catalog/product/cache/1/small_image/200x200/4a7b379f08b37ce157de1b71c34b2dde/p/r/product_14433_1_1.jpg,"5,60 лв.","Златният корен е мощен адаптоген, което означава, че помага на тялото ви да се адаптира към стреса. Доказано е също, че подобрява симптомите на бърнаут, който може да възникне при хроничен стрес. Адаптогенната природа на Златният корен го прави популярна добавка за борба с умората и други симптоми, свързани със стреса."
236,"Айважива корен, Alkanna tinctoria, Alkanet",https://bilki.bg/media/catalog/product/cache/1/small_image/200x200/4a7b379f08b37ce157de1b71c34b2dde/a/i/aivajiva.jpg,"5,81 лв.","Коренът на Айважива демонстрира силни антиоксидантни свойства. Скорошни проучвания доказаха силното антибактериално действие на екстракта от Айважива. Доказано е, че проявява активност срещу грам-положителни и грам-отрицателни бактерии, и гъбички."
237,"Водна детелина стрък, Menyanthes trifoliata L.",https://bilki.bg/media/catalog/product/cache/1/small_image/200x200/4a7b379f08b37ce157de1b71c34b2dde/1/8/188vodna-detel.jpg,"7,45 лв.","Водната детелина, известна още като блатен трилистник или горчивче, има доказано апетитовъзбуждащо и жлъчкогонно действие. Традиционната медицина активно го използва за лечение на заболявания на черния дроб, жлъчния мехур и жлъчните пътища."
238,"Водна мента лист, Mentha aquatica",https://bilki.bg/media/catalog/product/cache/1/small_image/200x200/4a7b379f08b37ce157de1b71c34b2dde/1/8/189vodna-menta.jpg,"5,47 лв.","Като помощно средство за храносмилането и като лек за главоболие се използва под формата на билков чай. Водната мента има и успокояващ ефект като намалява тревожността и безпокойството. Като подправка ментата се комбинира с агнешко и пилешко месо, риба, картофи, морски деликатеси, яйца и зелен боб."
239,"Конджак корен на прах – Глюкоманан, Amorphophallus radix",https://bilki.bg/media/catalog/product/cache/1/small_image/200x200/4a7b379f08b37ce157de1b71c34b2dde/b/2/b287-kondjak.jpg,"6,60 лв.","Конджак (Amorphophallus konjac) или глюкоманан наричат водоразтворимите растителни влакна с висока степен на пречистване. Конджак не само помага в борбата със наднорменото тегло, но и помага на организма да елиминира токсините."
240,"Черен бъз лист, Sambucus nigra L.",https://bilki.bg/media/catalog/product/cache/1/small_image/200x200/4a7b379f08b37ce157de1b71c34b2dde/1/7/177baz-list.jpg,"2,21 лв.","Черният бъз е силно ценен заради множеството му ползи за здравето. Те включват засилване на имунната система, за да помогне на тялото да се пребори с настинки, грип и други респираторни инфекции.
Листата се използват като отвара предимно външно за бани или лапи при ревматизъм, кожни обриви, хемороиди и подагра."
241,"Червен напръстник лист, Digitalis purpurea",https://bilki.bg/media/catalog/product/cache/1/small_image/200x200/4a7b379f08b37ce157de1b71c34b2dde/1/9/194-valnest-napr.jpg,"4,50 лв.","Червеният напръстник има много лечебни свойства. На първо място, тази билка помага на хора със сърдечни заболявания и остра сърдечна недостатъчност. Лекува и елиминира проблемите в кръвообращението."
242,"Глог плод - Черен, Crataegus pentagyna",https://bilki.bg/media/catalog/product/cache/1/small_image/200x200/4a7b379f08b37ce157de1b71c34b2dde/2/0/204glog-chern-plod.jpg,"2,22 лв.","Глогът е старо билково лекарство, използвано при сърцебиене, безсъние, високо кръвно налягане. Смята се, че глогът е бил известен и на Диоскорид, който го използвал за сърдечни заболявания. Засилва енергията на сърдечните съкращения, а едновременно с това успокоява сърцето."
243,"Черен сусам семе, Sesamum indicum, насипно",https://bilki.bg/media/catalog/product/cache/1/small_image/200x200/4a7b379f08b37ce157de1b71c34b2dde/b/5/b514conf-2.jpg,"3,29 лв.","Черният сусам има приятен вкус и деликатен аромат на ядки, които го правят подходящ за различни сладки и солени ястия."
244,"Дамяна лист, Turnera diffusa, Damiana",https://bilki.bg/media/catalog/product/cache/1/small_image/200x200/4a7b379f08b37ce157de1b71c34b2dde/2/1/213damiana-herba.jpg,"5,70 лв.","Мощен афродизиак, използван от древността. Пригответе си ""любовна отвара"" с Дамяна лист. Смята се, че повишава сексуалната възбуда и издръжливостта при мъжете и жените."
245,"Гиностема стрък на прах – Джиаогулан, Gynostemma pentaphyllum",https://bilki.bg/media/catalog/product/cache/1/small_image/200x200/4a7b379f08b37ce157de1b71c34b2dde/2/0/201ginostema.jpg,"6,35 лв.","Китайската билка Гиностема е лиана, която расте в Китай и Тибет. Наричана още ""Билката на безсмъртието"", тя е една от най-мощните билки, спомагаща изхвърляне на токсините, шлаките, отровите натрупани в клетките на организма."
246,"Бяла мъртва коприва стрък, Lamium album L.",https://bilki.bg/media/catalog/product/cache/1/small_image/200x200/4a7b379f08b37ce157de1b71c34b2dde/1/8/183-bqla-kopriva.jpg,"2,87 лв.",Благоприятна при нередовна менструация. Като кръвоспиращо и адстрингентно средство при кръвотечения се използват цветовете и листата на бялата мъртва коприва.
247,"Евкалипт лист,  Eucaliptus globulus",https://bilki.bg/media/catalog/product/cache/1/small_image/200x200/4a7b379f08b37ce157de1b71c34b2dde/2/2/228evkalipt.jpg,"3,48 лв.","Под формата на настойка или отвара, или като евкалиптово етерично масло, евкалиптът се употребява за инхалации при възпалителни заболявания на гърлото, при трахеити, бронхити, абсцес и гангрена на белия дроб. Вътрешно се използва отвара от листата като отхрачващо и дезинфекциращо средство при хронични бронхити."
248,"Кориандър семена на прах, Coriandrum sativum L.",https://bilki.bg/media/catalog/product/cache/1/small_image/200x200/4a7b379f08b37ce157de1b71c34b2dde/3/0/305koriandar-mlqn.jpg,"1,22 лв.","Кориандърът е подправка с приятен лимонов вкус и флорален аромат. За овкусяване на супи, сосове, дресинги, маринати и месни ястия. Газогонно и стимулиращо храносмилането средство."
249,"Гиностема стрък – Джиаогулан, Gynostemma pentaphyllum",https://bilki.bg/media/catalog/product/cache/1/small_image/200x200/4a7b379f08b37ce157de1b71c34b2dde/g/i/ginostemab313conf.jpg,"10,42 лв.","Китайската билка Гиностема е лиана, която расте в Китай и Тибет. Наричана още ""Билката на безсмъртието"", тя е една от най-мощните билки, спомагаща изхвърляне на токсините, шлаките, отровите натрупани в клетките на организма."
250,"Къпина горска корен, Rubus sp. diversa",https://bilki.bg/media/catalog/product/cache/1/small_image/200x200/4a7b379f08b37ce157de1b71c34b2dde/3/1/319kapina-koren.jpg,"2,68 лв.","Къпината има адстрингентно, запичащо, противовъзпалително действие. Листата и корените на къпината са дългогодишен домашен лек за анемия, обилна менструация, диария и дизентерия."
251,"Лепка стрък - при пясък и камъни в бъбреците, Galium aparine",https://bilki.bg/media/catalog/product/cache/1/small_image/200x200/4a7b379f08b37ce157de1b71c34b2dde/3/3/333lepka.jpg,"1,96 лв.","Билката Лепка е известна още под името Подрумче. Притежава редица лечебни свойства. Лепката е важно средство за преодоляване на проблеми с лимфната система. Лепката увеличава потока на урината, успокоява пикочните пътища и намалява възпалението."
252,"Лимонова трева стрък рязан - антиоксидант, Lemongrass",https://bilki.bg/media/catalog/product/cache/1/small_image/200x200/4a7b379f08b37ce157de1b71c34b2dde/l/e/lemon-balm.jpg,"4,00 лв.","Лимонова трева стрък - Cymbopogon ciatrus. Превъзходен вкусен чай със свеж цитрусов вкус, подходящ за всеки час от деня."
253,"Кафяви водорасли на прах, Laminaria Digitata Algae",https://bilki.bg/media/catalog/product/cache/1/small_image/200x200/4a7b379f08b37ce157de1b71c34b2dde/2/8/286kaf-vodorasli.jpg,"7,75 лв.","Казват, че човек е това, с което се храни. Знаете ли, че основната храна на японците са именно кафевите водорасли?  Кафявите водорасли Ламинария се отличават с уникален състав, който включва протеини, пектини и алгинова киселина, фукоидан, целулозни микрофибри, йод, 20 аминокиселини, от които 8 незаменими, витамини А, В комплекс, С, D, E,  28 микро- и макроелементи, омега 3 и 6."
254,"Липа лист -  при сърцебиене и високо кръвно налягане, Tilia cordata",https://bilki.bg/media/catalog/product/cache/1/small_image/200x200/4a7b379f08b37ce157de1b71c34b2dde/3/3/339lipa-list.jpg,"1,78 лв.","Листата на липата, макар и не толкова популярни като цветовете, също имат редица ползи. Липовият лист се използва при настинка, запушен нос, възпалено гърло, бронхит, главоболие, треска, кашлица. Действа успокоително на централната нервна система и усилва сърдечната дейност."
255,"Левурда лист рязан – Див лук, Allium ursinum L.",https://bilki.bg/media/catalog/product/cache/1/small_image/200x200/4a7b379f08b37ce157de1b71c34b2dde/3/3/330levurda.jpg,"2,82 лв.","Левурдата, позната още като Див чесън, Див лук и Мечи Лук, представлява тревисто растение, чиито листа се нарязват наситно и се сушат. Има лек чеснов аромат и вкус, с което се превръща в прекрасна подправка към разнообразни ястия и печива."
256,"Липа ароматна цвят, Tilia cordata Mill.",https://bilki.bg/media/catalog/product/cache/1/small_image/200x200/4a7b379f08b37ce157de1b71c34b2dde/3/3/338lipa-zvqt.jpg,"4,03 лв.",Чаят от липа е един от най-популярните чайове в Европа. Но знаете ли какви ползи получаваме от него? Моментално получаваме физическо и психическо облекчение. Освобождава ни от умората и мигновено зарежда с енергия. Облекчава симптомите на грип. Успокоява стомаха.
